iso,country,region
DZA,Algeria,R10AFRICA
AGO,Angola,R10AFRICA
BEN,Benin,R10AFRICA
BWA,Botswana,R10AFRICA
BFA,Burkina Faso,R10AFRICA
BDI,Burundi,R10AFRICA
CMR,Cameroon,R10AFRICA
CPV,Cabo Verde,R10AFRICA
CAF,Central African Republic,R10AFRICA
TCD,Chad,R10AFRICA
COM,Comoros,R10AFRICA
COG,Congo,R10AFRICA
CIV,Côte d'Ivoire,R10AFRICA
COD,Democratic Republic of the Congo,R10AFRICA
DJI,Djibouti,R10AFRICA
EGY,Egypt,R10AFRICA
GNQ,Equatorial Guinea,R10AFRICA
ERI,Eritrea,R10AFRICA
ETH,Ethiopia,R10AFRICA
GAB,Gabon,R10AFRICA
GMB,Gambia,R10AFRICA
GHA,Ghana,R10AFRICA
GIN,Guinea,R10AFRICA
GNB,Guinea-Bissau,R10AFRICA
KEN,Kenya,R10AFRICA
LSO,Lesotho,R10AFRICA
LBR,Liberia,R10AFRICA
LBY,Libya,R10AFRICA
MDG,Madagascar,R10AFRICA
MWI,Malawi,R10AFRICA
MLI,Mali,R10AFRICA
MRT,Mauritania,R10AFRICA
MUS,Mauritius,R10AFRICA
MYT,Mayotte,R10AFRICA
MAR,Morocco,R10AFRICA
MOZ,Mozambique,R10AFRICA
NAM,Namibia,R10AFRICA
NER,Niger,R10AFRICA
NGA,Nigeria,R10AFRICA
RWA,Rwanda,R10AFRICA
REU,Réunion,R10AFRICA
STP,Sao Tome and Principe,R10AFRICA
SEN,Senegal,R10AFRICA
SLE,Sierra Leone,R10AFRICA
SOM,Somalia,R10AFRICA
ZAF,South Africa,R10AFRICA
SSD,South Sudan,R10AFRICA
SDN,Sudan,R10AFRICA
SWZ,Eswatini,R10AFRICA
TGO,Togo,R10AFRICA
TUN,Tunisia,R10AFRICA
UGA,Uganda,R10AFRICA
TZA,Tanzania,R10AFRICA
ESH,Western Sahara,R10AFRICA
ZMB,Zambia,R10AFRICA
ZWE,Zimbabwe,R10AFRICA
CHN,China,R10CHINA+
KHM,Cambodia,R10CHINA+
HKG,Hong Kong,R10CHINA+
LAO,Laos,R10CHINA+
MAC,Macao,R10CHINA+
MNG,Mongolia,R10CHINA+
MMR,Myanmar,R10CHINA+
PRK,North Korea,R10CHINA+
VNM,Viet Nam,R10CHINA+
AUT,Austria,R10EUROPE
BEL,Belgium,R10EUROPE
BIH,Bosnia and Herzegovina,R10EUROPE
BGR,Bulgaria,R10EUROPE
HRV,Croatia,R10EUROPE
CYP,Cyprus,R10EUROPE
CZE,Czech Republic,R10EUROPE
DNK,Denmark,R10EUROPE
EST,Estonia,R10EUROPE
FRA,France,R10EUROPE
FIN,Finland,R10EUROPE
DEU,Germany,R10EUROPE
GRC,Greece,R10EUROPE
HUN,Hungary,R10EUROPE
ISL,Iceland,R10EUROPE
IRL,Ireland,R10EUROPE
ITA,Italy,R10EUROPE
LVA,Latvia,R10EUROPE
LTU,Lithuania,R10EUROPE
LUX,Luxembourg,R10EUROPE
MLT,Malta,R10EUROPE
MNE,Montenegro,R10EUROPE
NLD,Netherlands,R10EUROPE
MKD,North Macedonia,R10EUROPE
NOR,Norway,R10EUROPE
PRT,Portugal,R10EUROPE
CHE,Switzerland,R10EUROPE
POL,Poland,R10EUROPE
ROU,Romania,R10EUROPE
SRB,Serbia,R10EUROPE
SVK,Slovakia,R10EUROPE
SVN,Slovenia,R10EUROPE
ESP,Spain,R10EUROPE
SWE,Sweden,R10EUROPE
TUR,Turkey,R10EUROPE
GBR,United Kingdom,R10EUROPE
IND,India,R10INDIA+
AFG,Afghanistan,R10INDIA+
BGD,Bangladesh,R10INDIA+
BTN,Bhutan,R10INDIA+
MDV,Maldives,R10INDIA+
NPL,Nepal,R10INDIA+
PAK,Pakistan,R10INDIA+
LKA,Sri Lanka,R10INDIA+
ARG,Argentina,R10LATIN_AM
BHS,Bahamas,R10LATIN_AM
BRB,Barbados,R10LATIN_AM
BLZ,Belize,R10LATIN_AM
BOL,Bolivia,R10LATIN_AM
BRA,Brazil,R10LATIN_AM
CHL,Chile,R10LATIN_AM
COL,Colombia,R10LATIN_AM
CRI,Costa Rica,R10LATIN_AM
CUB,Cuba,R10LATIN_AM
DOM,Dominican Republic,R10LATIN_AM
ECU,Ecuador,R10LATIN_AM
SLV,El Salvador,R10LATIN_AM
GRD,Grenada,R10LATIN_AM
GLP,Guadeloupe,R10LATIN_AM
GTM,Guatemala,R10LATIN_AM
GUY,Guyana,R10LATIN_AM
HTI,Haiti,R10LATIN_AM
HND,Honduras,R10LATIN_AM
JAM,Jamaica,R10LATIN_AM
MTQ,Martinique,R10LATIN_AM
MEX,Mexico,R10LATIN_AM
NIC,Nicaragua,R10LATIN_AM
PAN,Panama,R10LATIN_AM
PRY,Paraguay,R10LATIN_AM
PER,Peru,R10LATIN_AM
PRI,Puerto Rico,R10LATIN_AM
LCA,Saint Lucia,R10LATIN_AM
SUR,Suriname,R10LATIN_AM
TTO,Trinidad and Tobago,R10LATIN_AM
URY,Uruguay,R10LATIN_AM
VEN,Venezuela,R10LATIN_AM
BHR,Bahrain,R10MIDDLE_EAST
IRQ,Iraq,R10MIDDLE_EAST
IRN,Iran,R10MIDDLE_EAST
ISR,Israel,R10MIDDLE_EAST
JOR,Jordan,R10MIDDLE_EAST
KWT,Kuwait,R10MIDDLE_EAST
LBN,Lebanon,R10MIDDLE_EAST
OMN,Oman,R10MIDDLE_EAST
PSE,Palestine,R10MIDDLE_EAST
QAT,Qatar,R10MIDDLE_EAST
SAU,Saudi Arabia,R10MIDDLE_EAST
SYR,Syria,R10MIDDLE_EAST
ARE,United Arab Emirates,R10MIDDLE_EAST
YEM,Yemen,R10MIDDLE_EAST
CAN,Canada,R10NORTH_AM
GUM,Guam,R10NORTH_AM
USA,United States,R10NORTH_AM
AUS,Australia,R10PAC_OECD
JPN,Japan,R10PAC_OECD
NZL,New Zealand,R10PAC_OECD
ARM,Armenia,R10REF_ECON
AZE,Azerbaijan,R10REF_ECON
BLR,Belarus,R10REF_ECON
GEO,Georgia,R10REF_ECON
KAZ,Kazakhstan,R10REF_ECON
KGZ,Kyrgyzstan,R10REF_ECON
MDA,Moldova,R10REF_ECON
RUS,Russian Federation,R10REF_ECON
TJK,Tajikistan,R10REF_ECON
TKM,Turkmenistan,R10REF_ECON
UKR,Ukraine,R10REF_ECON
UZB,Uzbekistan,R10REF_ECON
BRN,Brunei Darussalam,R10REST_ASIA
FJI,Fiji,R10REST_ASIA
PYF,French Polynesia,R10REST_ASIA
IDN,Indonesia,R10REST_ASIA
MYS,Malaysia,R10REST_ASIA
FSM,Micronesia,R10REST_ASIA
NCL,New Caledonia,R10REST_ASIA
PNG,Papua New Guinea,R10REST_ASIA
PHL,Philippines,R10REST_ASIA
KOR,South Korea,R10REST_ASIA
WSM,Samoa,R10REST_ASIA
SGP,Singapore,R10REST_ASIA
SLB,Solomon Islands,R10REST_ASIA
TWN,Taiwan,R10REST_ASIA
THA,Thailand,R10REST_ASIA
TLS,Timor-Leste,R10REST_ASIA
VUT,Vanuatu,R10REST_ASIA
TON,Tonga,R10REST_ASIA
VCT,Saint Vincent and the Grenadines,R10LATIN_AM